Total live births
Last modified: 06/10/2017
Code Year         Total
NLD  1992     196734.00
NLD  1993     195748.01
NLD  1994     195611.03
NLD  1995     190513.02
NLD  1996     189521.00
NLD  1997     192443.01
NLD  1998     199407.99
NLD  1999     200445.00
NLD  2000     206619.02
NLD  2001     202603.01
NLD  2002     202082.98
NLD  2003     200297.00
NLD  2004     194007.00
NLD  2005     187910.00
NLD  2006     185057.00
NLD  2007     181335.99
NLD  2008     184633.98
NLD  2009     184914.98
NLD  2010     184397.00
NLD  2011     180059.98
NLD  2012     175958.98
NLD  2013     171340.99
NLD  2014     175181.00
NOR  1967      66127.00
NOR  1968      67340.02
NOR  1969      67731.97
NOR  1970      64558.98
NOR  1971      65545.99
NOR  1972      64258.99
NOR  1973      61205.95
NOR  1974      59602.96
NOR  1975      56342.95
NOR  1976      53472.99
NOR  1977      50875.95
NOR  1978      51749.00
NOR  1979      51578.99
NOR  1980      51038.97
NOR  1981      50705.98
NOR  1982      51244.03
