"Notes"	"County"	"CountyCode"	"AgeofMother9"	"AgeofMother9Code"	"Year"	"YearCode"	Births	FemalePopulation	FertilityRate
	"Pinal County, AZ"	"04021"	"40-44 years"	"40-44"	"2006"	"2006"	67	7797	8.59
	"Yavapai County, AZ"	"04025"	"15-19 years"	"15-19"	"2006"	"2006"	314	5816	53.99
	"Yavapai County, AZ"	"04025"	"20-24 years"	"20-24"	"2006"	"2006"	772	4598	167.90
	"Yavapai County, AZ"	"04025"	"25-29 years"	"25-29"	"2006"	"2006"	636	4483	141.87
	"Yavapai County, AZ"	"04025"	"30-34 years"	"30-34"	"2006"	"2006"	392	4306	91.04
	"Yavapai County, AZ"	"04025"	"35-39 years"	"35-39"	"2006"	"2006"	216	5123	42.16
	"Yavapai County, AZ"	"04025"	"40-44 years"	"40-44"	"2006"	"2006"	49	6484	7.56
	"Yuma County, AZ"	"04027"	"15-19 years"	"15-19"	"2006"	"2006"	555	7222	76.85
	"Yuma County, AZ"	"04027"	"20-24 years"	"20-24"	"2006"	"2006"	1056	5876	179.71
	"Yuma County, AZ"	"04027"	"25-29 years"	"25-29"	"2006"	"2006"	862	5424	158.92
	"Yuma County, AZ"	"04027"	"30-34 years"	"30-34"	"2006"	"2006"	590	5423	108.80
	"Yuma County, AZ"	"04027"	"35-39 years"	"35-39"	"2006"	"2006"	240	5611	42.77
	"Yuma County, AZ"	"04027"	"40-44 years"	"40-44"	"2006"	"2006"	68	5925	11.48
	"Unidentified Counties, AZ"	"04999"	"15-19 years"	"15-19"	"2006"	"2006"	922	14548	63.38
	"Unidentified Counties, AZ"	"04999"	"20-24 years"	"20-24"	"2006"	"2006"	1841	9459	194.63
	"Unidentified Counties, AZ"	"04999"	"25-29 years"	"25-29"	"2006"	"2006"	1321	8152	162.05
	"Unidentified Counties, AZ"	"04999"	"30-34 years"	"30-34"	"2006"	"2006"	846	8450	100.12
	"Unidentified Counties, AZ"	"04999"	"35-39 years"	"35-39"	"2006"	"2006"	435	9219	47.19
	"Unidentified Counties, AZ"	"04999"	"40-44 years"	"40-44"	"2006"	"2006"	115	10720	10.73
	"Benton County, AR"	"05007"	"15-19 years"	"15-19"	"2006"	"2006"	348	6179	56.32
	"Benton County, AR"	"05007"	"20-24 years"	"20-24"	"2006"	"2006"	927	6087	152.29
	"Benton County, AR"	"05007"	"25-29 years"	"25-29"	"2006"	"2006"	987	7400	133.38
	"Benton County, AR"	"05007"	"30-34 years"	"30-34"	"2006"	"2006"	639	6862	93.12
	"Benton County, AR"	"05007"	"35-39 years"	"35-39"	"2006"	"2006"	271	7365	36.80
	"Benton County, AR"	"05007"	"40-44 years"	"40-44"	"2006"	"2006"	52	6995	7.43
	"Pulaski County, AR"	"05119"	"15-19 years"	"15-19"	"2006"	"2006"	701	11568	60.60
	"Pulaski County, AR"	"05119"	"20-24 years"	"20-24"	"2006"	"2006"	1851	13188	140.35
	"Pulaski County, AR"	"05119"	"25-29 years"	"25-29"	"2006"	"2006"	1794	15554	115.34
	"Pulaski County, AR"	"05119"	"30-34 years"	"30-34"	"2006"	"2006"	1111	13500	82.30
	"Pulaski County, AR"	"05119"	"35-39 years"	"35-39"	"2006"	"2006"	443	12790	34.64
	"Pulaski County, AR"	"05119"	"40-44 years"	"40-44"	"2006"	"2006"	94	13573	6.93
	"Sebastian County, AR"	"05131"	"15-19 years"	"15-19"	"2006"	"2006"	235	4185	56.15
	"Sebastian County, AR"	"05131"	"20-24 years"	"20-24"	"2006"	"2006"	677	4106	164.88
	"Sebastian County, AR"	"05131"	"25-29 years"	"25-29"	"2006"	"2006"	494	4119	119.93
	"Sebastian County, AR"	"05131"	"30-34 years"	"30-34"	"2006"	"2006"	312	3852	81.00
	"Sebastian County, AR"	"05131"	"35-39 years"	"35-39"	"2006"	"2006"	130	3954	32.88
	"Sebastian County, AR"	"05131"	"40-44 years"	"40-44"	"2006"	"2006"	29	4547	6.38
	"Washington County, AR"	"05143"	"15-19 years"	"15-19"	"2006"	"2006"	426	7566	56.30
	"Washington County, AR"	"05143"	"20-24 years"	"20-24"	"2006"	"2006"	1033	9585	107.77
	"Washington County, AR"	"05143"	"25-29 years"	"25-29"	"2006"	"2006"	1020	8908	114.50
	"Washington County, AR"	"05143"	"30-34 years"	"30-34"	"2006"	"2006"	661	6333	104.37
	"Washington County, AR"	"05143"	"35-39 years"	"35-39"	"2006"	"2006"	319	6125	52.08
	"Washington County, AR"	"05143"	"40-44 years"	"40-44"	"2006"	"2006"	49	6276	7.81
	"Unidentified Counties, AR"	"05999"	"15-19 years"	"15-19"	"2006"	"2006"	4236	68260	62.06
	"Unidentified Counties, AR"	"05999"	"20-24 years"	"20-24"	"2006"	"2006"	9479	63469	149.35
	"Unidentified Counties, AR"	"05999"	"25-29 years"	"25-29"	"2006"	"2006"	7152	60407	118.40
	"Unidentified Counties, AR"	"05999"	"30-34 years"	"30-34"	"2006"	"2006"	3667	55748	65.78
	"Unidentified Counties, AR"	"05999"	"35-39 years"	"35-39"	"2006"	"2006"	1424	61299	23.23
	"Unidentified Counties, AR"	"05999"	"40-44 years"	"40-44"	"2006"	"2006"	280	68652	4.08
	"Unidentified Counties, AR"	"05999"	"45-49 years"	"45-49"	"2006"	"2006"	13	Not Available	Not Available
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	"2006"	"2006"	1381	47043	29.36
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	"2006"	"2006"	3573	48474	73.71
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	"2006"	"2006"	5254	57124	91.98
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	"2006"	"2006"	6117	55206	110.80
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	"2006"	"2006"	3767	58818	64.05
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	"2006"	"2006"	893	58286	15.32
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	"2006"	"2006"	62	Not Available	Not Available
	"Butte County, CA"	"06007"	"15-19 years"	"15-19"	"2006"	"2006"	282	9196	30.67
	"Butte County, CA"	"06007"	"20-24 years"	"20-24"	"2006"	"2006"	749	11761	63.69
	"Butte County, CA"	"06007"	"25-29 years"	"25-29"	"2006"	"2006"	796	5364	148.40
	"Butte County, CA"	"06007"	"30-34 years"	"30-34"	"2006"	"2006"	488	5643	86.48
	"Butte County, CA"	"06007"	"35-39 years"	"35-39"	"2006"	"2006"	264	5962	44.28
	"Butte County, CA"	"06007"	"40-44 years"	"40-44"	"2006"	"2006"	52	6596	7.88
